Title,MRP(Rs.),Savings(%),Price(Rs.),Brand,Model,Capacity,Annual Energy Consumption,Date,Link
LG 1.5 Ton 5 Star AI+ DUAL Inverter Wi-Fi Split AC,83990.0,37%,52990.0,LG,RS-Q19UWZE,1.5 Tons,685.26 kWh,18-04-2023,https://amazon.in/LG-Convertible-Anti-Virus-Protection-RS-Q19UWZE/dp/B0BQ79L1DY/ref=sr_1_191?qid=1681802724&s=kitchen&sr=1-191
"Samsung 1.5 Ton 3 Star Wi-fi Enabled, Wind-Free Technology Inverter Split AC",64990.0,33%,43399.0,Samsung,AR18CY3AAGB,1.5 Tons,1560 kWh,18-04-2023,https://amazon.in/Samsung-Technology-Convertible-Anti-bacterial-AR18CY3AAGB/dp/B0BSGSSMGM/ref=sr_1_192?qid=1681802724&s=kitchen&sr=1-192
Lloyd 1.0 Ton 3 Star Inverter Split AC with Anti-Viral + PM 2.5 Filter,44990.0,27%,32990.0,Lloyd,GLS12I3FWAVG,1 Tons,698.49 kWh,18-04-2023,https://amazon.in/Lloyd-Anti-Viral-GLS12I3FWAVG-Indication-Installation/dp/B09TNRLJG6/ref=sr_1_195?qid=1681803066&s=kitchen&sr=1-195
Haier Frost Clean Inverter Split AC with 5 in 1 easy Convertible,42490.0,2%,41500.0,Haier,HSU19E-TXB5B(INV),1.6 Tons,880 kWh,18-04-2023,https://amazon.in/Haier-Inverter-Convertible-HSU19E-TXB5B-INV/dp/B09SP3B4PH/ref=sr_1_197?qid=1681803066&s=kitchen&sr=1-197
Lloyd 5 in 1 Convertible 1 Ton 3 Star Inverter Split AC with Low Gas Detection,50990.0,39%,30990.0,Lloyd,LLOYD S.AC GLS12I3FWSBV-IND,1 Tons,698.49 kWh,18-04-2023,https://amazon.in/Lloyd-Convertible-Detection-Condenser-GLS12I3FWSBV/dp/B0BYDCXQD7/ref=sr_1_198?qid=1681803066&s=kitchen&sr=1-198
SUHANA Snow Falls 1.0 Ton 5 Star Non Inverter Split Air Conditioner AC with Energy Saver Technology,49088.0,29%,35000.0,SUHANA Snow falls,2022-23 SU12JSF0123R22,1 Tons,438.0 kWh,18-04-2023,https://amazon.in/SUHANA-Snow-Conditioner-2022-23-SU12JSF0123R22/dp/B0BRNDNF2D/ref=sr_1_200?qid=1681803066&s=kitchen&sr=1-200
Lloyd 1.5 Ton 3 Star Hot & Cold Inverter Split AC,64990.0,39%,39490.0,Lloyd,GLS18H3FWRHC,1.5 Tons,1043.12 kWh,18-04-2023,https://amazon.in/Lloyd-Inverter-Convertible-Anti-Viral-GLS18H3FWRHC/dp/B0BGLC7XK2/ref=sr_1_205?qid=1681803066&s=kitchen&sr=1-205
Electrolux 1 Ton 3 Star Convertible Inverter Split Air Conditioner,56990.0,40%,33990.0,Electrolux,ESV123C1AA,1 Tons,668.13 kWh,18-04-2023,https://amazon.in/Electrolux-Convertible-Anti-Corrosion-UltimateHome-ESV123C1AA/dp/B0BBTT1CLQ/ref=sr_1_206?qid=1681803066&s=kitchen&sr=1-206
Carrier Estrella Dx 24K 2 Star Window AC with Energy Saver Mode 2 Ton,45000.0,18%,37000.0,Carrier,24k Estrella Dx 2S,2 Tons,1503.32 kWh,18-04-2023,https://amazon.in/Carrier-Estrella-Dx-Window-Energy/dp/B0BC49K17Y/ref=sr_1_208?qid=1681803066&s=kitchen&sr=1-208
Carrier 2.0 Ton 5 Star Wi-Fi Inverter Split AC,84990.0,31%,58490.0,Carrier,Emperia CXI Wifi,2 Tons,1054.45 kWh,18-04-2023,https://amazon.in/Carrier-Inverter-Copper-EMPERIA-CXI/dp/B09ZSTSVJ2/ref=sr_1_209?qid=1681803066&s=kitchen&sr=1-209
"Voltas Split Air Conditioner SAC 184V DAZJ, White",69990.0,44%,39490.0,Voltas,4503219,1.5 Tons,1868.8 kWh,18-04-2023,https://amazon.in/Voltas-Split-Conditioner-184V-White/dp/B09WKMM7RN/ref=sr_1_212?qid=1681803066&s=kitchen&sr=1-212
LG 1.5 Ton 4 Star DUAL Inverter AI Super Convertible 6-in-1 ThinQ-Wifi Split AC,72990.0,41%,42990.0,LG,PS-Q19SWYF,1.5 Tons,800 kWh,18-04-2023,https://amazon.in/LG-Inverter-Convertible-ThinQ-Wifi-PS-Q19SWYF/dp/B09SCZT2JC/ref=sr_1_218?qid=1681803408&s=kitchen&sr=1-218
Haier 1.6 Ton 5 Star Inverter Split AC,72490.0,37%,45990.0,Haier,HSU19E-TXG5BE-INV,1.6 Tons,302.36 kWh,18-04-2023,https://amazon.in/Haier-Inverter-Convertible-Antibacterial-HSU19E-TXG5BE-INV/dp/B0BSFR7FCV/ref=sr_1_220?qid=1681803408&s=kitchen&sr=1-220
Daikin 1.8 Ton 2 Star Fixed Speed Split AC,61600.0,29%,43690.0,Daikin,FTE60U,1.8 Tons,1435.97 kWh,18-04-2023,https://amazon.in/Daikin-Copper-Bacterial-Filter-FTE60U/dp/B09R4R6L89/ref=sr_1_222?qid=1681803408&s=kitchen&sr=1-222
"Voltas Split Air Conditioner SAC 185V CAZZ, White,",71990.0,45%,39410.0,Voltas,4503222,1.5 Tons,1898.0 kWh,18-04-2023,https://amazon.in/Voltas-Split-Conditioner-White-4503222/dp/B09W5K2L16/ref=sr_1_225?qid=1681803408&s=kitchen&sr=1-225
"Whirlpool 1.0 Ton 5 Star, Inverter Split AC",61500.0,43%,34990.0,Whirlpool,41324,1 Tons,515.27 kWh,18-04-2023,https://amazon.in/Whirlpool-Inverter-Split-Magicool-Convert/dp/B09RWPVC5M/ref=sr_1_227?qid=1681803408&s=kitchen&sr=1-227
Voltas 1.5 Ton Inverter 3 Star Split AC,59390.0,39%,36480.0,Voltas,4503023-SAC 183V DZZ,1.5 Tons,1053.61 kWh,18-04-2023,https://amazon.in/Voltas-Inverter-Split-183V-DZZ/dp/B09BDQQLNY/ref=sr_1_228?qid=1681803408&s=kitchen&sr=1-228
Lloyd Havells 1.5 Ton 5 Star Inverter Split AC,61990.0,31%,42499.0,Lloyd,GLS18I56WRBP,1.5 Tons,865.9 kWh,18-04-2023,https://amazon.in/Lloyd-Inverter-Copper-Anti-Viral-GLS18I56WRBP/dp/B08V85PTR6/ref=sr_1_229?qid=1681803408&s=kitchen&sr=1-229
Lloyd 1.5 Ton 3 Star Inverter AC,58990.0,39%,35990.0,Lloyd,LLOYD S.AC GLS18I3FWSEV-IND,1.5 Tons,698.49 kWh,18-04-2023,https://amazon.in/Lloyd-1-5-Star-Inverter-1-5TGLS18I3FWSEV3S/dp/B0BYDF32MC/ref=sr_1_230?qid=1681803408&s=kitchen&sr=1-230
LG 1.5 Ton 4 Star Inverter Split AC,59990.0,27%,43890.0,LG,MS-Q18KNYA1,1.5 Tons,920.82 kWh,18-04-2023,https://amazon.in/LG-Convertible-Anti-Virus-Protection-MS-Q18KNYA1/dp/B08TCFWVQH/ref=sr_1_235?qid=1681803408&s=kitchen&sr=1-235
"Haier 1.5 Ton 4 Star, WiFi, Inverter Split AC",69990.0,41%,40990.0,Haier,HSU18K-PYFR4BE1-INV,1.5 Tons,323.52 kWh,18-04-2023,https://amazon.in/Haier-Inverter-Convertible-Antibacterial-HSU18K-PYFR4BE1-INV/dp/B0BSFSK57G/ref=sr_1_238?qid=1681803408&s=kitchen&sr=1-238
LG 1.5 Ton 3 Star Inverter Split AC,55990.0,30%,38990.0,LG,KS-Q18ENXA,1.5 Tons,1050.85 kWh,18-04-2023,https://amazon.in/LG-Inverter-Split-Copper-KS-Q18ENXA/dp/B07MYXRVRG/ref=sr_1_239?qid=1681803408&s=kitchen&sr=1-239
Carrier 1.5 Ton 4 Star Window AC,76556.0,53%,35999.0,Carrier,CAW18SC4R31F1,1.5 Tons,867 kWh,18-04-2023,https://amazon.in/Carrier-1-5-Ton-4Star-Window/dp/B09R4RQ4DN/ref=sr_1_241?qid=1681803408&s=kitchen&sr=1-241
