Title,MRP(Rs.),Savings(%),Price(Rs.),Brand,Model,Capacity,Annual Energy Consumption,Date,Link
Hitachi SPLIT AC - 1.0 Ton HITACHI SHIZEN 3100S INVERTER - R32 - RAPG312HFEOZ1,,,,Hitachi,RAPG312HFEOZ1,1 Tons,688.96 Kilowatt Hours,18-04-2023,https://amazon.in/SPLIT-AC-HITACHI-INVERTER-RAPG312HFEOZ1/dp/B09WDTYJ54/ref=sr_1_73?qid=1681801010&s=kitchen&sr=1-73
"Daikin 1 Ton 5 Star Triple Display, Dew Clean Technology, Inverter Split AC",,,,Daikin,FTKM35U,1 Tons,523.54 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Daikin-Display-Technology-Inverter-FTKM35U/dp/B09SW7RWSD/ref=sr_1_74?qid=1681801010&s=kitchen&sr=1-74
Voltas SAC 123 Vectra Platina Fixed Window AC 1 Ton,35900,19%,28990,Voltas,4011481,1 Tons,3100 Watts,18-04-2023,https://amazon.in/Voltas-Vectra-Platina-Fixed-Window/dp/B0BQYB5YVF/ref=sr_1_75?qid=1681801356&s=kitchen&sr=1-75
Hitachi Split Ac - 1.5 Ton Kiyora 5200Fx I Fresh Inverter - R32 - RSRG518FFEO,,,,Hitachi,RSRG518FFEO,1.5 Tons,780.6 Kilowatt Hours,18-04-2023,https://amazon.in/SPLIT-AC-HITACHI-INVERTER-RSRG518FFEO/dp/B0B14J2VQ2/ref=sr_1_76?qid=1681801356&s=kitchen&sr=1-76
Daikin 1 Ton 3 Star Fixed Speed Split AC,,,,Daikin,FTL35U,1 Tons,656.44 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Daikin-Fixed-Copper-Filter-FTL35U/dp/B09R4RFRFY/ref=sr_1_77?qid=1681801356&s=kitchen&sr=1-77
Haier 1 Ton 3 Star Inverter Split AC,57490,44%,31990,Haier,HSU11V-TMS3BE-INV,1 Tons,688.52 Watts,18-04-2023,https://amazon.in/Haier-Inverter-Copper-Antibacterial-HSU11V-TMS3BE-INV/dp/B0BSFQZGXG/ref=sr_1_78?qid=1681801356&s=kitchen&sr=1-78
Blue Star 2 Ton 3 Star Fixed Speed Window AC,59990,30%,41990,Blue Star,WFA324LN,2 Tons,1453.77 Kilowatt Hours,18-04-2023,https://amazon.in/Blue-Star-Hydrophilic-Self-Diagnosis-WFA324LN/dp/B0BDML6FB1/ref=sr_1_79?qid=1681801356&s=kitchen&sr=1-79
Daikin 1.5 Ton 5 Star Inverter Split AC,73800,33%,49599,Daikin,JTKJ50U,1.5 Tons,785.67 Kilowatt Hours Per Year,18-04-2023,https://amazon.in/Daikin-Inverter-Copper-Filter-JTKJ50U/dp/B09R4RZR83/ref=sr_1_80?qid=1681801356&s=kitchen&sr=1-80
AmazonBasics 1 Ton 3 Star Inverter Split AC,50000,45%,27490,AmazonBasics,AB22INVAC3S06,1 Tons,3100 Watts,18-04-2023,https://amazon.in/Amazon-Basics-Inverter-Bacterial-Copper/dp/B0BCGHRM5F/ref=sr_1_81?qid=1681801356&s=kitchen&sr=1-81
Panasonic 1 Ton 4 Star Wi-Fi Inverter Smart Split AC,50600,29%,35990,Panasonic,CS/CU-NU12YKY4W,1 Tons,601.5 Kilowatt Hours,18-04-2023,https://amazon.in/Panasonic-Convertible-additional-Purification-CU-NU12YKY4W/dp/B0BRHZ5L1Z/ref=sr_1_82?qid=1681801356&s=kitchen&sr=1-82
Panasonic 1.5 Ton 5 Star Wi-Fi Inverter Smart Split AC,76900,28%,54990,Panasonic,CS/CU-HU18ZKYF,1.5 Tons,774.19 Kilowatt Hours,18-04-2023,https://amazon.in/Panasonic-Convertible-additional-Purification-CU-HU18ZKYF/dp/B0BRJJKXPT/ref=sr_1_83?qid=1681801356&s=kitchen&sr=1-83
